вот таблица 

Подраздел	Задача / функция	Реализовано	Примечание
	Точка 6 · Вечерняя проверка состояния · окно 18:30 – 20:00 (параллельно точке 5)	Нет	
	Точка 7 · Итоговая анкета по дню · окно 22:00 – 00:00	Нет	
Проверка состояния (точки 1, 3, 6)	Выбор эмоции из 11 вариантов: тревога, растерянность, скука, раздражение, усталость, спокойствие, интерес, вовлечённость, воодушевление, радость, гордость	Нет	
	Шкала энергии 0–10	Нет	
	Опциональное текстовое поле «С чем это связано?»	Нет	
	Эмоции сгруппированы в 5 зон: Риск · Усталость · Нейтраль · Включение · Подъём — для аналитики	Нет	
	Временна́я точка (утро / день / вечер) фиксируется автоматически по номеру точки	Нет	
Осмысление по направлению (точка 2)	1–3 содержательных вопроса по направлению — формулировки настраиваются в админке	Нет	
	Ответы свободным текстом, сохраняются дословно (основа языкового трекера)	Нет	
	Каждый вопрос пропускаемый	Нет	
Осмысление уроков (точки 4 и 5)	Бот формирует список уроков, шедших в этот слот (из расписания)	Нет	
	Шаг 1: участник выбирает урок, на котором был	Нет	
	Шаг 2: рефлексия по выбранному уроку — текст	Нет	
	Кнопка «Сохранить в копилку» в точках осмысления НЕ используется — копилка доступна постоянно из любой точки бота	Нет	
Итоговая анкета (точка 7)	Окно 22:00 – 00:00 — главная содержательная анкета дня	Нет	
	Прогресс-бар вверху, возможность отложить и вернуться к месту прерывания	Нет	
	Все вопросы пропускаемые	Нет	
	Блок-конструктор: администратор собирает блок вопросов в админке, копирует со вчера, редактирует	Нет	
	Открытие по push в 22:00; до этого момента не запускается	Нет	
	Метаданные, подтягиваемые в выгрузку автоматически: время создания, тематическое направление, группа участника	Нет	
9 шкал оценки дня (часть итоговой анкеты)	Работа в рамках тематического направления — шкала оценки 1–5	Нет	
	Уроки о важном (1–5)	Нет	
	Открытые уроки, «уроки наоборот» и презентации педагогических практик (1–5)	Нет	
	Утренняя программа здоровья (йога, зарядка) (1–5)	Нет	
	Мастер-классы и активности альтернативной программы (1–5)	Нет	
	Вечерняя атмосферная программа (1–5)	Нет	
	Организация питания (1–5)	Нет	
	Организация проживания и быта (1–5)	Нет	
	Работа куратора группы (1–5)	Нет	
Условные оценки итоговой анкеты	Вопрос «Выезжал ли ты на полезную программу?» — Да / Нет	Нет	
	Если Да → оцени по шкале 1–5 выездную полезную программу	Нет	
	Вопрос «Был ли ты сегодня на презентации педагогической практики?» — Да / Нет	Нет	
	Если Да → «Напиши, на какой» (текст)	Нет	
	Если Да → «Готов ли рекомендовать эту практику коллегам?» — Да / Нет	Нет	
	Если Да → оцени по шкале 1–10	Нет	
Содержательные вопросы итоговой анкеты (открытые)	Главный тезис (ключевая мысль, вывод) дня	Нет	
	Как изменилось твоё понимание темы или твоей деятельности после сегодняшней работы?	Нет	
	Что сегодня понравилось больше всего?	Нет	
	Что нужно сделать, чтобы завтра твои оценки стали выше?	Нет	
	Свободное поле: «здесь можно написать всё, что не сказано выше, в том числе мысли и озарения»	Нет	
Блок эксперимента с ролью (часть итоговой анкеты)	Вопрос про сегодняшний эксперимент с ролью: «что получилось, что не получилось? что ты фиксируешь для себя из этого опыта?» — один общий текстовый ответ	Нет	
	Вопрос «Завтра ты планируешь сфокусироваться на развитии какой роли?» — выбор одной из 6: Исследователь смыслов · Упаковщик содержания · Навигатор процесса · Реализатор практики · Проводник коммуникации · Хранитель среды и поддержки	Нет	
	Данные сохраняются в role_experiments для сегодняшней роли и как «роль_завтра» для следующего дня	Нет	
Точка Б — финальная рефлексия смены (Д7 вечер + Д8 утро)	Точка Б — парная к Точке А из регистрации. Заполняется в конце смены	Нет	
	Показывается в вечерней итоговой анкете Д7 и в утреннем блоке Д8 (последний день, отъезд)	Нет	
	Состав: те же 3–5 вопросов из Точки А + новые: «Роль сильная» + «Роль для развития»	Нет	
	«Роль для развития» — участник ВЫБИРАЕТ САМ из 6 карточек ролей + пишет текстом «почему выбрал». Это НЕ рекомендация системы и НЕ автомат по диагностике	Нет	
	Сохраняется как отдельная запись в reflections + обновляет profile участника	Нет	
	Открывается в дашборде «Портрет заезда → Портрет выезда» — сравнение А vs Б	Нет	
	В Д8 утром — только сбор Точки Б, без диагностики/эксперимента	Нет	
6. Вопросы   ·   30 пунктов			
Логика раздела · 3 канала у участника	У УЧАСТНИКА раздел «Вопросы» разделён на ТРИ ТАБА (канала): Рефлексия — вопросы от бота для тебя (проверка состояния, после блоков, итоги дня, точка А, точка Б) · Обмен опытом — вопросы между участниками (мои + от других) · Организаторам — прямая линия к дирекции	Нет	[объединены пункты 1–4]
	В АДМИНКЕ это ТИПЫ вопросов внутри одного раздела «Вопросы» (НЕ отдельные разделы админки)	Нет	
	Общий принцип: одна логика бэкенда, три спокойных вкладки на фронте. Без крикливой подсветки срочности	Нет	
Таб 1 · Рефлексия — от бота	Плашка-пояснение сверху: «Вопросы от бота — для тебя. Отвечай в своё время, копи Путь»	Нет	
	Секция «Не отвечено · N» — карточки: метка типа (Проверка состояния / После события / Итоги дня / Точка А / Точка Б) · окно времени · баллы «+N 📍 Путь» · кнопка «Ответить»	Нет	
	Секция «Отвечено сегодня · N» — тусклые карточки, метка типа + вопрос, без действий	Нет	
	Настройка типов и окон времени — в админке (раздел «Вопросы»)	Нет	
Таб 2 · Обмен опытом — между участниками	Плашка-пояснение: «Обмен опытом между участниками. Отвечай на вопросы других и задавай свои»	Нет	
	Секция «Вопросы от участников · N» — карточки: метка аудитории (Своему направлению / Всем участникам) · вопрос · аватар+имя автора · баллы «+N ⚡ Опыт» · кнопка «Ответить»	Нет	
	Секция «Твои вопросы · N» — курсивные цитаты моих вопросов · метка «X ответов · N новых» · кнопка «Открыть ответы»	Нет	
	Внизу большая кнопка «+ Задать новый вопрос участникам»	Нет	
	Модерация: после отправки вопрос уходит на модерацию админа (см. Админ-панель · 4. Вопросы)	Нет	
Таб 3 · Организаторам — прямая линия	Плашка-пояснение: «Прямая линия к дирекции. Вопрос по программе, предложение, обратная связь — дирекция отвечает лично»	Нет	
	Секция «Твои переписки · N» — карточки: тема переписки · окно с последним ответом (превью) · статус (Ждёт ответа / Отвечено)	Нет	
	Клик по карточке — открывает полную переписку в стиле мессенджера	Нет	
	Внизу большая кнопка «+ Написать в дирекцию»	Нет	
	На стороне админа — отдельный раздел в интерфейсе дирекции (см. Админ-панель · 4. Вопросы · Обмен с организаторами)	Нет	
Реакции и ответы (общий механизм)	На каждый ответ — простые реакции: 👍 (лайк), «Хочу обсудить»	Нет	
	Количество реакций видят ВСЕ участники (не только автор ответа)	Нет	
	Возможность ответить на любой ответ (комментарий второго уровня)	Нет	
Баллы (сводно по всем 3 табам)	За заданный вопрос в обмене опытом (после модерации): +3 XP по линии «Опыт»	Нет	
	За ответ другому участнику: +5 XP по линии «Опыт»	Нет	
	За ответ на рефлексивный вопрос: +5 XP по линии «Путь»	Нет	
	За заполнение итогов дня целиком: +15 XP по линии «Путь»	Нет	
	За заполнение точки А (регистрация Д1): +20 XP разово	Нет	
	За заполнение точки Б (Д7-Д8): +30 XP разово	Нет	
Сообщения после отправки ответа	После отправки любого ответа — показать подтверждение	Нет	
	Формат: короткая карточка «✓ Ответ отправлен · +N ⚡ Опыт / +N 📍 Путь · [Дальше →]»	Нет	
	Если начислена медаль — отдельная карточка «🏅 Ты получил медаль: [название]»	Нет	
	Настраивается в админке (текст подтверждения, показывать/скрывать баллы)	Нет	
7. Профиль «Я»   ·   53 пунктов			
Карточка участника	Аватар (инициалы или фото из VK)	Да	
	Отображать ФИО, направление, группу. Деятельность собирается в анкете, но отображается только в аналитике	Да	
	Направление, группа и смена (например, «Учитель · Группа 1А · Смена 1»)	Да	
	Стартовая ведущая роль — крупная плашка (Исследователь смыслов / …)	Да	
	Иконка ⚙ — переход в настройки	Да	
Прогресс А → Б	Слайдер с двумя датами (начало смены → конец смены)	Нет	
	Текущая позиция на слайдере	Нет	
	Процент комбинированный: 40% точки осмысления + 30% рефлексии + 20% задания + 10% копилка с тегом «в работу»	Нет	
	Формула настраивается в админке	Нет	
Четыре метрики	% Прогресс (А → Б)	Нет	
	N/M Активностей — количество посещённых блоков	Нет	
	N Идей — количество записей в копилке	Нет	
	N/7 Рефлексий — количество заполненных итоговых анкет за дни	Нет	
🎯 Мой запрос (точка А)	Отображение текста точки А дословно — на видном месте	Нет	
	Блок «Твой способ действия на программе» — пометка «будем обсуждать дополнительно»	Нет	
	Блок «Что получилось» — пометка «будем обсуждать дополнительно»	Нет	
	Блок «Следующие шаги» (следующий шаг после форума) — раздел итогов	Нет	
Твой способ действия на программе (новый блок · формируется по ходу смены)	Стартовая роль — та, что определилась в онбординге (крупно + короткая опора: «ты быстро находишь идеи…»)	Нет	
	Какие роли ты исследовал за эти дни — счётчик по каждой из 6 ролей (сколько экспериментов проведено)	Нет	
	Твой маршрут — короткая формулировка (LLM): «от поиска идей → к проверке через действие»	Нет	нет
	Что ты узнал о себе — 3–5 пунктов из вечерних фиксаций «что получилось / не получилось / что фиксирую»	Нет	
	Вопрос-выбор в финале смены: «В какой роли ты почувствовал себя наиболее естественно?» — участник выбирает одну из 6 (сильная роль)	Нет	
	Вопрос-выбор в финале: «Какую роль хочется развивать дальше?» — участник выбирает одну (роль роста)	Нет	
	Мой следующий эксперимент после программы — выбор одного действия из списка (задать больше вопросов / взять ответственность за процесс / структурировать хаос / довести идею до результата / больше работать с коммуникацией / помогать создавать среду)	Нет	
	Все ответы сохраняются в профиль и попадают в финальный PDF	Нет	
⚡ Что получилось (автоген)	Список из 3–5 пунктов — LLM-синтез из ответов рефлексий	Нет	ой потом
	Появляется начиная с дня 3	Нет	ой потом
	Возможность редактирования аналитиком вручную	Нет	ой потом
	Базовая версия — рыба + ручное редактирование; полная LLM — после теста на НФО	Нет	ой потом
📁 Моя копилка	Кнопки-теги (единый финальный список): идея · мысль · вопрос · контакт · на будущее · в работу	Нет	
	Кнопки-источники: Направление · Урок о важном · Открытый урок · Клуб · Разговор с участником · Своя мысль	Нет	
	Счётчик «N идей и инструментов →»	Нет	
	Переход в полную копилку	Нет	
🗺 Следующие шаги (автоген)	Появляется на дне 6–7	Нет	ой потом
	Блок появляется на 7 дне смены	Нет	ой потом
	Источник: записи копилки с тегами «в работу» + ответ на итоговый вопрос «следующий шаг» + следующий эксперимент из блока «Твой способ действия»	Нет	ой потом
✦ Рекомендация ИИ	В течение смены — одна короткая рекомендация в день (базовая версия: выбор из 20–30 шаблонов по правилам)	Нет	ой потом
	В финале смены — расширенная рекомендация с учётом всей траектории (какие роли исследовал, что унёс, какая роль роста)	Нет	ой потом
	Полная LLM-генерация — следующий релиз после теста на НФО	Нет	ой потом
«Мой трекер» — что видно ежедневно	Кривая состояния — энергия и эмоция по дням (с динамикой к вчера)	Нет	
	Распределение записей копилки по тегам и источникам	Нет	
	Прогресс заданий и накопленный опыт	Нет	
	Список заданных вопросов в «Общении»	Нет	
	7 точек осмысления за сегодня — что пройдено, что в процессе	Нет	
	Роль дня + статус эксперимента	Нет	
Финальный PDF	На дне 7 — генерация финального PDF профиля	Нет	
	Содержит: обложку, точку А → Б, кривую состояния, копилку, план, блок «Твой способ действия» (стартовая роль → исследованные роли → сильная → роль роста → следующий эксперимент)	Нет	
	Шаблон PDF настраивается администратором	Нет	
	Возможность администратора вручную редактировать содержимое PDF перед выдачей (текстовые блоки: «Что получилось», «Следующие шаги», формулировки способа действия)	Нет	
	Просмотр PDF в админке до отправки участнику	Нет	
	После правки — сохранение окончательной версии и выдача участнику	Нет	
Итоговая карточка участника — финальный результат смены	Ключевой продукт для участника: карточка появляется в Д7-Д8 после заполнения Точки Б, доступна навсегда в разделе «Я»	Нет	
	Состав карточки: Точка А (входные ответы Д1) — сохранённые дословно · Точка Б (финальные ответы Д7-Д8) — сохранённые дословно · Изменение запроса — сравнение А vs Б по каждому вопросу (визуально: было → стало) · Ключевые находки — топ-3-5 записей из копилки с тегом «идея» и «мысль» · Копилка — вся, со всеми тегами и источниками, с фильтрами и поиском · Планы — записи с тегом «в работу» + ответ на итоговый вопрос «следующий шаг после форума» · Роли: ведущая роль по диагностике (старт) · выбранные роли эксперимента по дням (Д2-Д7) · роль для развития (выбор Д7-Д8) · Опыт участия — итоги по «Опыту» (задания, активности) и «Пути» (рефлексия): баллы, уровни, медали, посещённые события	Нет	[объединены пункты 53–61]
8. Копилка   ·   19 пунктов			
