Подраздел	Задача / функция	Реализовано	Примечание
8. Пуши · Шаблоны (пресеты)	Отдельная вкладка «Шаблоны» в разделе Пуши	Да	
	Пресеты по типу: Утро · Проверка состояния · Вопрос дня · Напоминание · Срочное сообщение	Да	[код: PushTemplatesPanel]
	Форма шаблона: название · заголовок · текст (с плейсхолдерами {ФИО}, {День}, {Роль}, {Событие}) · иконка · тип	Да	
	В форме создания пуша — dropdown «Использовать шаблон»: выбрать → поля автозаполняются	Да	
	Плейсхолдеры разворачиваются при отправке	Да	
8. Пуши · Форма уведомления	Внутреннее название · Заголовок пуша · Текст (200 симв) · Иконка	Да	[код: PushNotificationForm]
	Аудитория: Все / Направление / Группа / Список ID / Правило (конструктор)	Да	
	Дата/день программы, к которому относится уведомление (для привязки и фильтрации)	Да	
	Время публикации · Время окончания показа («до скольки висит»)	Да	
	Возможность прикрепить картинку	Да	
	Отправить: Сейчас / По расписанию / По триггеру	Да	
	Тип уведомления (выпадающий список): проверка состояния / напоминание / итоги дня / программа / задания / организационные	Да	заменено по уточнению: было «информация / напоминание / ошибка»
	НЕ использовать «чек-ин» — везде «проверка состояния»	Да	
	Статус: [Черновик] / [Опубликовано]. Кнопки: [Сохранить черновик] [Тест-отправка себе] [👁 Предпросмотр] [Отправить / В очередь]	Да	
11. Пользователи админки · Список	Заголовок: «Пользователи админки · N всего»	Да	
	Поиск · Фильтр: Роль · Направление	Да	
	Кнопка: «+ Добавить пользователя»	Да	
	Колонки: ФИО · Email · Роль · Направление · Последний вход · Статус · Действия	Да	
	Действия: Редактировать · Сбросить пароль · Заблокировать · Удалить · Логи действий	Да	
11. Пользователи админки · Форма	ФИО · Email (валидация)	Да	
	Роль (dropdown): администратор · дирекция · аналитик · куратор · модератор · волонтёр · организатор	Да	[код: AdminUserForm 7 roles]
	Направление (обязательно для куратора направления)	Да	
	Пароль: [Сгенерировать и отправить] / [Задать вручную]	Да	[код: generate + modal login/password]
	Кнопки: [Сохранить] [Отправить приглашение]	Да	[код: reset-password invite flow]
11. Роли и права · Матрица прав	Строки: разделы админ-панели	Да	
	Столбцы: чтение · создание · редактирование · удаление · подтверждение · выгрузка	Да	
	Ячейка — чекбокс для каждой роли (табы вверху)	Да	
	Кнопки: [Сохранить] [Сбросить к дефолту]	Да	
12. Журнал изменений	Поиск · Фильтр: Пользователь · Раздел · Тип действия · Дата от-до	Да	
	Колонки: Дата+время · Пользователь · Раздел · Действие · Объект · Старое значение · Новое значение · IP	Да	
	Действия: Открыть детали · Откатить · Экспорт	Да	
	Кнопка: [Экспорт лога в XLSX]	Да	
12. Журнал · Отдельная вкладка «Критичные операции»	Отдельная вкладка для операций особого внимания	Да	
	Автоматически туда попадают: ручное начисление баллов · снятие баллов · изменение роли участника · подтверждение/отклонение задания · изменение вопросов · изменение программы	Да	
	Фильтр: «требует ревью» / «отревьюено»	Да	
	Действие: «Пометить как отревьюено»	Да	
13. Настройки рекомендаций · Управление тегами	Заголовок: «Управление тегами · N тегов»	Да	
	Строка поиска: по названию тега	Да	
	Фильтр: Тип применения (события / диагностика / интересы / материалы / клубы)	Да	
	Кнопка: «+ Создать тег»	Да	
	Колонки: Название · Тип применения (мультивыбор) · Использование (событий N, вопросов N, участников N) · Порядок · Действия	Да	
	Действия: Редактировать · Объединить (merge) · Переименовать · Удалить (с проверкой связей)	Да	
	Массовое: «Объединить выбранные в один»	Да	[код: RecommendationTagsTab bulkMerge]
	Drag-drop сортировка порядка (для регистрации участника)	Да	[код: RecommendationTagsTab drag + reorder API]
13. Тег · Форма	Название (обязательное) · Ключ (латиница)	Да	
	Тип применения (мультивыбор чекбоксами): для событий · для диагностики · для интересов · для материалов · для клубов	Да	
	Описание · Цвет · Активен	Да	
	Кнопки: [Сохранить] [Отменить]	Да	
13. Тег · Слияние (merge)	Форма выбора двух тегов	Да	
	Preview: сколько записей будут перепривязаны	Да	
	Кнопка [Объединить] — необратимо, все связи одного тега переходят на другой	Да	
	Логируется в admin_actions_log	Да	
Сквозной принцип: черновики не в аналитике + удаление	Убираем чекбокс «Учитывать в аналитике» — вместо него: сущности со статусом «Черновик» автоматически НЕ попадают в дашборды и выгрузки (учитываются только «Опубликовано»)	Да	заменено по уточнению — было отдельным чекбоксом на каждой форме · [код: status published + isPublishedStatus in analytics]
	На каждой сущности (событие · вопрос · задание · материал · медаль · пуш) — кнопка «Удалить» в списке, чтобы технические/тестовые записи можно было просто стереть, а не скрывать флагом	Да	[код: Удалить в списках RowActionsMenu]
	Удаление — с подтверждением («Точно удалить? Действие необратимо»), логируется в admin_actions_log	Да	[код: confirmDelete + admin_actions_log]
15. Интеграции   ·   20 пунктов			
ВК мини-приложение	Авторизация через VK ID	Да	
	Push через VK Mini Apps Notifications API	Да	
	Загрузка фото через VK API	Частично	
	Соблюдение лимитов мини-приложения	Частично	
	Учёт особенностей сессии мини-приложения ВК	Частично	
База материалов и расписание	Подгрузка расписания блоков на каждый день смены	Да	
	Карточки уроков о важном и активностей открытого времени	Да	
	Ссылки на материалы спикеров для рекомендаций и сохранения в копилку	Частично	
QR события (сканирует участник)	Генерируется на событие/активность (event_id) или задание (task_id)	Да	
	Хранится: events.qr_url, tasks.qr_url	Да	
	Формат URL: deep-link в бота с параметрами (event_id + timestamp + signature)	Да	
	Сценарий: участник сканирует своей камерой → открывается бот → отметка «был на событии» + начисление баллов Опыта	Частично	
	В админке — кнопка «Сгенерировать QR» в форме события и задания	Да	
	Кнопка «Скачать QR PDF» — набор для печати на площадке	Да	
QR участника (сканирует волонтёр)	Генерируется на каждого участника при регистрации (participant_id + signature)	Да	
	Хранится: participants.qr_url	Да	[код: qrToken + buildParticipantQrUrl]
	Формат URL: deep-link для приложения волонтёра — открывает карточку участника	Да	[код: Volunteer panel + qrDeepLink]
	Сценарий: волонтёр сканирует QR участника → подтверждает участие в активности / выполнение задания / выдачу медали	Да	[код: volunteerController + ParticipantCard QR]
	В личном профиле участника — вкладка «Мой QR»	Да	[код: Profile settings QR block]
	Регенерация QR при подозрении на компрометацию	Да	[код: POST /profile/regenerate-qr]
14+. Рейтинг и баллы · Настройка действий и баллов	Раздел «Система баллов» в админ-панели	Да	LevelsTab + GET /levels-config/action-catalog · [код: LevelsTab stakes + bonus rules]
	Для каждого действия задаётся: название · количество баллов · тип счётчика (Путь / Опыт / Идей) · максимальное число начислений	Да	Путь/Опыт/Бонус в UI; «Идей» — счётчик записей без XP · [код: action-catalog PATCH]
	Действия для счётчика «Путь»: прохождение каждой из 7 точек осмысления (отдельно), бонус за полный день, бонус за регулярность 7 дней	Да	state_check_* + question_answer + day_complete_bonus + reflection_streak_7 · [код: pointsLine path]
	Действия для счётчика «Опыт»: выполнение задания (по категориям), ответ другому участнику в «Общении», участие в команде, получение медали	Да	task_cat_* + exchange_answer; команда=task_complete; медаль без XP · [код: pointsLine experience]
	Действия для счётчика «Идей»: добавление записи в копилку	Да	XP по тегам копилки; «Идей» на главной — count only · [код: piggybank tag idea]
	Система автоматически учитывает ограничения при начислении (не начислять сверх максимума)	Да	awardPoints + maxAccruals · [код: pointsAwarded caps]
	Все настройки без участия разработчика	Да	levels_config batch из админки · [код: LevelsTab + forum_settings]
14+. Рейтинг и баллы · Медали — каталог	Раздел «Медали» в админ-панели — создание, редактирование, удаление	Да	
	Поле «Название медали»	Да	
	Поле «Описание» — за что выдаётся	Да	
	Поле «Условие получения» — конкретное правило (например, «активен 6 дней подряд», «выполнил 3 командных задания»)	Да	[код: ruleMetric + manual award in ParticipantCard]
	Поле «Иконка» — изображение для отображения	Да	
	Поле «Категория» — привязка к категории заданий	Да	[код: medal category field]
	Поле «Уровень» — бронза / серебро / золото	Да	
	Поле «Тип выдачи» — автоматическая (по условию) или ручная (выдаёт администратор)	Да	
14+. Рейтинг и баллы · Ручное управление баллами	Поиск участника → его профиль → история начислений	Да	
	Кнопка «Добавить баллы» с комментарием (тип счётчика, сумма, причина)	Да	
	Кнопка «Снять баллы» с комментарием	Да	
	Кнопка «Аннулировать подозрительные баллы» — массовая операция с уведомлением участникам	Да	POST /points/revoke-bulk + push · [код: revoke-bulk LevelsTab + ParticipantCard]
	Все ручные операции — в журнале действий администратора	Да	
14+. Рейтинг и баллы · Настройка в админке	Возможность настройки порогов уровней «Пути»	Да	LevelsTab ThresholdEditor path_level
	Возможность настройки порогов уровней «Опыта»	Да	LevelsTab ThresholdEditor exp_level
	Настройка типов рейтинговых таблиц	Да	forum_settings.leaderboardScopes · [код: leaderboardScopes в LevelsTab]
	Ручное начисление и снятие баллов с логированием	Да	
14+. Push · Управление администратором	Ручная отправка: выбор аудитории (все / направление / участник) + текст + отправить сейчас	Да	
	Отложенная отправка: задать дату и время	Да	
	Шаблоны уведомлений	Да	PushTemplatesPanel + CRUD /push/templates
	История с указанием статуса доставки	Да	</user_query>































