Подраздел	Задача / функция	Реализовано	Примечание
	Отсроченный замер (через 6–8 недель)	Да	[код: template+schedule от конца смены + push tick; ingest ответов — сделано]
	Финальная сводка «Роли и эксперименты» по всей смене	Да	[код: GET /exports/roles-experiments]
	Экспорт «Все ответы участника» — для передачи участнику по запросу	Да	[код: /exports/participant/:id/answers]
Сквозные поля во всех выгрузках	Сквозные поля во всех выгрузках (11): ФИО / направление / группа / день / время заполнения / время ответа / тип вопроса / вопрос / ответ / баллы (если есть) / источник (если есть)	Да	[код: частично в CSV колонках] · [код: exportCommon.buildAnswerRow]
12. Аналитика · 75 пунктов			
6-РОЛЕВАЯ МОДЕЛЬ — база всех дашбордов	Единственная типология в системе. Заменяет прежнюю мотивационную модель	Да	[код: ROLE_MATRIX + AnalyticsShell banner]
	Матрица 2×3: (МЫШЛЕНИЕ · ДЕЙСТВИЯ · ЛЮДИ) × (ЛИДЕРСКИЙ вовне · ОРГАНИЗАЦИОННЫЙ внутри группы)	Да	[код: roleTaxonomy / meta]
	Роли: Исследователь смыслов · Реализатор практики · Проводник коммуникации · Упаковщик содержания · Навигатор процесса · Хранитель среды	Да	[код: ROLE_CATALOG]
	Ежедневный выбор роли для эксперимента (Д2–Д7) + вечерняя рефлексия результата	Да	[код: participantDayState + portrait dashboard]
	В профиле участника: ведущая_роль_диагностика (кто я сейчас) · выбранная_роль_дня (что исследую сегодня) · роль_для_развития (что хочу развивать после форума)	Да	[код: pedagogicalRole + portrait]
Общий принцип для ВСЕХ дашбордов	Режим просмотра — ЧЕТЫРЕ независимых механизма (не просто фильтр даты): «Сегодня» — оперативная картина, данные за текущий день в реальном времени · Выбор конкретной даты / дня форума — историческая карточка выбранного дня · Динамика по всем дням — графики изменений метрик за смену · Сравнение дней между собой — двух-трёх дней рядом (Д2 vs Д5)	Да	[код: 4 modes today/day/shift/compare]
	Фильтры на каждом дашборде: направление · группа · роль · день	Да	[код: direction/group/roleKey query]
	Экспорт: PNG · CSV · XLSX	Да	[код: html-to-image + §11 presets]
	Автообновление данных: раз в 15 минут (настраивается)	Да	[код: ANALYTICS_REFRESH_MINUTES default 15]
	ВАЖНО для разработчика: реализовать именно ДИНАМИЧЕСКИЕ ГРАФИКИ изменений, а не только фильтр даты	Да	[код: shift/compare line charts]
Этапы запуска аналитики	v1 (обязательно к запуску, без ИИ) — дашборды 1, 2, 3, 5, 6	Да	[код: dashboards 1,2,3,5,6]
	v2 (смысловая аналитика) — дашборд 4 целиком на эвристиках	Да	[код: SEMANTIC_ANALYTICS_V2 + semanticHeuristics; LLM снят]
	ЗАЧЕМ: разделение фиксирует границу «должно работать сразу» vs «доработать после первых данных». Разработчик не пойдёт делать сложное вместо простого	Нет	
1. ДАШБОРД «ПУЛЬС ФОРУМА» — что происходит с участниками прямо сейчас	БЛОК: Активность участников: количество зарегистрированных в боте · активные сегодня (заходили в бот) · прошли точки осмысления (по каждой отдельно + всего) · прошли проверки состояния (утро / день / вечер) · заполнили итоги дня · динамика активности по дням (график)	Да	[код: GET /analytics/dashboards/pulse]
	БЛОК: Эмоциональный и физический пульс — источник: 3 проверки состояния в день	Да	[код: pulse byPhase]
	ОБЯЗАТЕЛЬНЫЕ РАЗРЕЗЫ (не средние значения!): общий форум · направления · группы: распределение всех состояний по 5 зонам (риск · усталость · нейтраль · включение · подъём) — процентами · распределение отдельно утро / день / вечер · изменение состояния по дням (график) · сравнение направлений между собой · сравнение групп внутри направления	Частично	[код: byDirection/byGroup/byDay UI]
	НЕ показывать среднее значение — только распределение, чтобы не терять картину	Да	[код: zone % only in UI]
	БЛОК: Причины состояния (открытый вопрос «С чем связано состояние?»): основные причины (агрегат по частоте упоминаний) · повторяющиеся темы · изменения по дням · разрез по направлениям и группам	Да	[код: tokens by day/dir/group; эвристики]
2. ДАШБОРД «ПОРТРЕТ УЧАСТНИКОВ И ДВИЖЕНИЕ» — кто приехал и как меняется	БЛОК: Стартовая аналитика заезда (появляется ЕЩЁ ДО начала программы, сразу после регистрации): цели участников (из целеполагания Точки А) · ожидания · интересы (топ тегов) · распределение по 6 ролям (входная диагностика) · разрез по направлениям и группам · разрез по регионам	Да	[код: portrait dashboard + region]
	Этот блок ключевой — на его основе дирекция понимает «кого получили» перед стартом программы	Нет	
	БЛОК: Стартовый портрет (детальный, из регистрации): направление · группа · учебный класс · деятельность · регион · возраст · распределение по всем полям (гистограммы)	Частично	[код: histograms UI]
	БЛОК: Цели участников — детально: основные цели · ожидания · запросы 	Да	[код: goalTopTokens; эвристики]
	БЛОК: Интересы участников (для рекомендаций программы): топ тегов интересов · распределение по направлениям	Да	[код: interestsByDirection]
	БЛОК: Ролевая динамика (не только входная диагностика!): какая роль определена на СТАРТЕ (входная диагностика Д1) · какую роль выбирают для ЭКСПЕРИМЕНТА каждый день (Д2-Д7) · какие роли чаще исследуют (топ выбираемых ролей) · как меняется выбор по дням (динамика) · сравнение с ВЫХОДНОЙ диагностикой (Д7-Д8) — кто изменил, кто остался · матрица «стартовая роль × выбранные роли эксперимента × финальная роль»	Частично	[код: experimentDaySeries + matrixSample]
	БЛОК: Портрет заезда → Портрет выезда (сравнение А vs Б): Сравнение ответов участника на входе (Точка А) и на выходе (Точка Б) · Изменение целей, ожиданий, запросов · Индивидуально по каждому участнику + агрегированно по направлениям · Экспорт: полная выгрузка + PDF итоговой карточки участника (см. раздел «Я» · Итоговая карточка)	Частично	[код: departure byDirection + exports §11]
3. ДАШБОРД «ОБРАЗОВАТЕЛЬНАЯ ПРОГРАММА» — какие элементы программы работают	СТРУКТУРА: 5 отдельных блоков по типам событий + отдельно события дня	Да	[код: program dashboard]
	БЛОК: Направления (по каждому): посещение (сколько человек присутствовало) · оценка направления (шкала 1-5) · отзывы (открытые ответы)	Да	[код: scale blocks; эвристики]
	БЛОК: Уроки о важном (по каждому уроку): посещение · оценка · отзывы · основные мысли	Частично	[код: lessonsImportant scale + events]
	БЛОК: Открытые уроки (по каждому): посещение · оценка · отзывы · основные мысли	Частично	[код: openLessons scale + events]
	БЛОК: Клубы (по каждому из 3 клубов): посещение · оценка · отзывы · основные мысли · связь с материалом (вопросы участников по теме клуба — см. блок «Аналитика для клубов»)	Частично	[код: clubs attendance + dashboard 7]
	БЛОК: Практики практик — НЕ только итоговый рейтинг: рейтинг практик КАЖДОГО ДНЯ (топ дня) · общий рейтинг практик СМЕНЫ (за всю смену) · NPS (индекс рекомендации) каждой практики · отзывы участников по каждой практике	Частично	[код: practicesByDay; NPS нет поля]
	БЛОК: События дня (источник — «Что сегодня понравилось больше всего?»): самые упоминаемые события (топ дня) · топ спикеров · топ активностей	Да	[код: topMentions; эвристики]
	БЛОК: Расхождения выбора и оценки (v1 — обязательно): Расхождение рекомендации и фактического выбора (много выбирают, но рейтинг низкий — или наоборот) · События с высокой оценкой при небольшой посещаемости (малая аудитория + топ-число копилочных записей)	Да	[код: divergence block v1]
4. ДАШБОРД «СМЫСЛОВАЯ АНАЛИТИКА» (ИИ-слой, ЭТАП 2 целиком) — не оценки, а изменения участников	[Этап 2] ВСЁ ЦЕЛИКОМ — не запускается на первом этапе	Частично	[код: semantic v2 эвристики + SEMANTIC_ANALYTICS_V2] · [код: semantic dashboard v2 flag]
	БЛОК: Профессиональная сдвижка	Частично	[код: token shift early vs late]
	ИСТОЧНИКИ анализа: рефлексия после направления · рефлексия после уроков о важном · рефлексия после открытых уроков · вопрос итогов дня «Как изменилось понимание темы / деятельности?»	Частично	[код: after_event + evening corpus]
	ПОКАЗЫВАЕМ: изменение профессиональной позиции · новые акценты · изменение отношения к деятельности	Частично	[код: emergingThemes]
	Разрезы: по направлениям · по стартовым ролям · по дням	Частично	[код: dir/role slices]
	БЛОК: Языковой трекер	Да	[код: languageTracker byDay]
	ИСТОЧНИКИ анализа: все открытые ответы (рефлексии + копилка + вопросы)	Да	[код: answers + piggybank]
	ПОКАЗЫВАЕМ: изменение ключевых слов · изменение тем · появление новых смыслов · сдвиг фокуса внимания	Частично	[код: compareTermSets]
	Пример: Д1 — «инструменты»; Д5 — «среда, отношения, роль»	Частично	[код: D1-2 vs D5-7]
	Разрезы: по направлениям · по ролям	Да	[код: languageTracker slices]
	БЛОК: Смысловые кластеры: основные темы дня · новые вопросы (появившиеся на этом дне) · повторяющиеся выводы · неожиданные наблюдения (аномалии)	Частично	[код: semanticClusters heuristics]
	БЛОК: Возможная оценка глубины рефлексии — не точная метрика, а качественный ориентир	Да	[код: inferReflectionDepth]
	УРОВНИ АНАЛИЗА (не «баллы», а качественные ориентиры):	Да	[код: depthLayers]
	1. Фиксация события — описание того, что произошло	Да	[код: depth distribution]
	2. Личный вывод — рефлексия своих ощущений, мыслей, реакции	Да	[код: depth distribution]
	3. Перенос в практику — как использовать в своей деятельности: Динамика уровней по дням у каждого участника · Не показывать как «оценку 1-3 балла» — только как качественные слои · Топ самых глубоких рефлексий (для дирекции — материал для клубов и итоговых событий)	Частично	[код: depthByDay + topDeepReflections]
	БЛОК: Главные наблюдения дня (эвристическая сводка): что произошло сегодня с участниками · какие изменения заметны · что стало важным · snapshot к утру	Да	[код: templateDailyObservation + snapshots]
	БЛОК: Аналитика для клубов (см. отдельный подраздел ниже)	Да	[код: dashboard clubs]
4a. АНАЛИТИКА ДЛЯ КЛУБОВ — механизм работы (Этап 2)	МЕХАНИЗМ:	Частично	[код: forum_clubs + clubMatch + clubs tab]
	1. В админке лидер клуба или админ задаёт ОПИСАНИЕ КЛУБА — тематическое поле, ключевые вопросы, к чему клуб	Да	[код: ClubsView PATCH forum-clubs]
	2. 3 клуба на форуме: «Будущее» · «Образование вокруг человека» · «Единство»	Да	[код: ensureDefaultForumClubs]
	3. Система анализирует ежедневно (ночной прогон): рефлексии · открытые ответы · вопросы участников · копилку	Да	[код: clubFragmentMatchNightly]
	4. Если появляются темы, совпадающие со смысловым полем клуба — система подсвечивает их лидеру клуба	Частично	[код: keyword match fragments]
	ЧТО ПОДСВЕЧИВАЕМ лидеру клуба: вопросы участников по теме клуба · мысли участников из копилки · темы из рефлексий · запросы из открытых полей целеполагания	Частично	[код: club_matches snippets]
	ПРИМЕР «Будущее»: вопросы о будущем образования · ожидания изменений · новые вызовы · образ школы будущего	Частично	[код: default club descriptions]
	РЕАЛИЗАЦИЯ: keyword match фрагментов → club_matches + UI «Материал для клуба»	Да	[код: clubFragmentMatchNightly keyword-only; LLM снят]
5. ДАШБОРД «АКТИВНОСТЬ, ЗАДАНИЯ И РЕЙТИНГ» — вовлечение участников	СТРУКТУРА: рейтинги показываются ОТДЕЛЬНО (Опыт и Путь) + ВМЕСТЕ (общий = сумма)	Да	[код: activity dashboard path/exp/total]
	БЛОК: Рейтинг «Опыт»	Частично	[код: experience leaderboard]
	ИСТОЧНИКИ: задания · активности форума · QR-коды · фото/пост-подтверждения · волонтёрские подтверждения: лидеры «Опыта» · выполненные задания · активность по 11 категориям	Частично	[код: leaderboardService]
	БЛОК: Рейтинг «Путь»	Частично	[код: path leaderboard]
	ИСТОЧНИКИ: точки осмысления · рефлексивные ответы · содержательные открытые ответы · итоги дня · вопросы от участников: лидеры «Пути» · активность в рефлексии · прохождение пути (completion) · регулярность ответов (streak)	Частично	[код: path track]
	БЛОК: Общий рейтинг = Опыт + Путь: лидеры общие · разрезы: по дню · по смене · по категориям · по направлениям · по медалям	Частично	[код: total + day + byDirection]
	БЛОК: Задания: популярные задания (топ по выполнениям) · выполнение по категориям · задания на модерации · динамика активности по дням	Частично	[код: tasks popular/byCategory/byDay]
	БЛОК: Медали: выданные медали (открытые и скрытые отдельно) · прогресс участников по незакрытым медалям	Частично	[код: medalsSummary open/hidden]
6. ДАШБОРД «КОПИЛКА» — что участники забирают с форума	БЛОК: Просмотр (разные способы навигации): по дню · по направлению · по группе · по участнику	Да	[код: piggybank dashboard tag/source]
	БЛОК: Фильтры — ТЕГ и ИСТОЧНИК как ДВА РАЗНЫХ независимых фильтра (не смешивать!)	Да	[код: PiggybankView tag/source]
	ТЕГИ (6, что с этим делать): идея · мысль · вопрос · контакт · на будущее · в работу	Да	[код: PIGGYBANK_TAGS UI]
	для каждого тега: топ тем (агрегат частоты) · РЕАЛЬНЫЕ ЗАПИСИ участников (не только агрегат — конкретные тексты, для просмотра дирекцией) · распределение по направлениям (кто в каком теге активнее) · динамика по дням (сколько записей с этим тегом каждый день)	Частично	[код: byTag topThemes/entries/byDirection/series]
	ИСТОЧНИКИ (6, откуда взял): направление · урок о важном · открытый урок · клуб · разговор с участником · своя мысль	Да	[код: bySource]
	для каждого источника: топ источников: откуда участники ЧАЩЕ ВСЕГО забирают идеи · сколько записей из каждого источника · какие теги преобладают внутри источника · динамика по дням	Частично	[код: bySource tagMix + series]
	БЛОК: Топ практик из копилки по тегу «в работу»: с атрибуцией по источникам (это главный ответ «что дало моё направление» / «что дал форум») · сравнение направлений: какое дало больше «в работу»	Да	[код: vRabota]
	БЛОК: Инструменты и практики (агрегат по повторяющимся упоминаниям): повторяющиеся инструменты в текстах записей	Да	[код: recurringTools; эвристики]
Админка · экран «Дашборды и Выгрузки» · 9 пунктов			
9. Дашборды	Сайдбар с 10 дашбордами	Да	[код: InsightsChrome + dashboardCatalog meta]
	Верхний фильтр: Дата · Направление · Группа	Да	[код: InsightsChrome toolbar]
	Кнопки: [Обновить] [Скачать PNG] [Скачать CSV]	Да	[код: AnalyticsShell actions]
	Индикатор доступности: «Доступен с Д1 / Д2 / Д3-Д4»	Да	[код: availabilityTier badge + minForumDay]
10. Выгрузки · Основной экран	Заголовок: «Выгрузки»	Да	[код: ExportsTab hero]
	Пресеты: «По дню» (dropdown Д1..Д8), «По участнику», «По направлению», «По группе», «По типу вопроса», «По заданиям», «По рейтингу», «По копилке» → [Скачать XLSX]	Да	[код: ExportsTab preset table 8 rows]
	Кнопка «Кастомная выгрузка» — конструктор	Да	[код: CustomExportModal + POST /exports/custom]
	История выгрузок	Да	[код: export_history + ExportHistoryBlock]
10. Выгрузки · Сквозные поля	ФИО · направление · группа · день · время заполнения · тип данных · вопрос · ответ · баллы (если есть) · источник (если есть)	Да	[код: cross-fields card + exportCommon]
13. Базы данных · 87 пунктов			
Участники	participants: ID, vk_id, ФИО, возраст, направление, группа, смена, место_работы, деятельность (должность / сфера), согласия (ПД + аналитика), дата регистрации, интересы (JSON-массив)	Да	[код: schema participants]
	participants: ведущая_роль_старт (одна из 6, из онбординга), сильная_роль_финал (по выбору участника в финале), роль_роста (по выбору участника), следующий_эксперимент_после_программы (текст)	Частично	[код: roles fields partial]
	participants: пед_роль_вход, пед_роль_выход (педагогический архетип — если применимо, отдельно от ведущей роли)	Нет
	participants_check: точки А (3–5 полей) и точки Б (N полей) дословно	Нет	[код: answers, не отдельная таблица]
Роли и эксперименты (по дням)	role_experiments: ID, ID_участника, направление, группа, день, роль_день (одна из 6), режим (исследую_свою / прокачиваю_другую), эксперимент_id, эксперимент_текст (снимок), результат_текст (объединённое «что получилось / не получилось / что фиксирую»), роль_завтра (одна из 6, из вечерней анкеты — влияет на роль_день следующего дня), время_фиксации	Нет	[код: participantDayState вместо role_experiments]
	role_experiments_catalog: ID, роль, текст_эксперимента, вес (для ротации), активен (boolean) — редактируется в админке	Да	[код: day_experiments]
Точки осмысления	osmysleniya_points: ID, ID_участника, направление, группа, день, номер_точки (1–7), точка_тип, окно_начало, окно_конец, статус (pending / active / done / overdue / locked), время_выполнения, заполнено_в_окне (boolean), данные_id	Нет	[код: touchpoints in code, не таблица]
Состояния	states: ID, ID_участника, направление, группа, день, точка_дня (утро / день / вечер), время_ответа, эмоция (1 из 11), энергия (0–10), триггер (текст)	Нет	[код: checkin в answers]
Рефлексии (по каждой точке — отдельная сущность, единая таблица)	reflections: ID, ID_участника, направление, группа, день, точка (2 / 4 / 5 / 7 / точка_А / точка_Б), блок_id (event_id для точек 4, 5), вопрос_id, текст вопроса (снимок), текст_ответа, количество_слов, время_ответа, completion	Нет	[код: answers table]
	Индексы по (день, точка, направление) и (ID_участника, день) для быстрых выгрузок	Нет
Оценки дня (точка 7)	ratings: ID, ID_участника, направление, группа, день, время создания	Нет	[код: evening в answers]
	Основные 9 шкал × 1–5: направление · уроки о важном · открытые уроки/наоборот/презентации · утренняя программа здоровья · мастер-классы и альтернативная · вечерняя атмосферная · питание · проживание · куратор группы	Нет
	Условные: выездная_да, выездная_оценка, педпрактика_да, педпрактика_название, рекомендую_да, рекомендую_оценка (1–10)	Нет
	Одна строка = один участник × день	Нет
Копилка	piggybank: ID, ID_участника, направление, группа, день, время, текст, тег (один из 5), источник (один из 6), связка_с_блоком (event_id, опционально)	Да	[код: schema piggybank]
Программа	events: ID, день, название, описание, место, время_начала, время_окончания, слот (утро / уроки / открытые / вечер / …), теги (JSON-массив)	Да	[код: schema events]
	event_attendance: ID_участника, event_id, time	Да	[код: event_attendance]
	activity: ID_участника, день, выбор_урока, выбор_активности, задание_id, задание_статус, опыт_начислено	Нет
База знаний	materials: ID, день, блок_id, спикер_имя, тема, тип (конспект / презентация / видео / ссылки), url, описание, дата_публикации	Да	[код: schema materials]
	knowledge_unlock: ID_участника, день, точек_выполнено, порог_достигнут (boolean), дата_разблокировки	Частично	[код: kb_day_unlocks]
Задания	tasks: ID, название, краткое_описание, полное_условие, категория, номинация, день, время_публикации, срок_приёма, баллы, тип_задания (одноразовое / ежедневное / многоразовое / командное), способ_подтверждения, нужна_модерация (boolean), лимит_выполнений, привязка_направления, привязка_медали, статус	Да	[код: schema tasks]
	task_submissions: ID, ID_участника, задание_id, статус (created / ожидает / подтверждено / отклонено / начислены_баллы / получена_медаль), ответ_текст, фото (массив ссылок), ссылка_на_пост, дата_отправки, дата_проверки, модератор_id, комментарий_модератора, начислено_баллов	Да	[код: schema task_submissions]
	task_qr_codes: ID, задание_id, токен, время_активации, время_деактивации, лог_сканирований (jsonb)	Нет
	team_submissions: ID, заявка_id, ID_участника, статус_подтверждения (ждёт / подтверждено / отказ), время_подтверждения	Нет
Медали и достижения	medals: ID, название, описание, условие_получения, иконка_url, категория, уровень (бронза / серебро / золото), тип_выдачи (авто / ручная)	Да	[код: schema medals]
	user_medals: ID, ID_участника, medal_id, дата_получения, способ (авто / выдал_admin_id)	Да	[код: user_medals]
	nominations: ID, название, описание, тип_подсчёта	Нет
	user_nomination_scores: ID_участника, nomination_id, баллы, ранг	Нет
Роли модераторов и волонтёров	staff_roles: ID, ID_сотрудника, роль (волонтёр / модератор / организатор), привязка к активностям или категориям, дата_назначения	Нет
	volunteer_log: ID, ID_волонтёра, ID_участника, задание_id, время_подтверждения, координаты (опционально)	Нет
Общение	exchange_questions: ID, ID_участника, текст, аудитория (направление / все), статус_модерации, time	Да	[код: exchange_questions]
	exchange_answers: ID, question_id, ID_участника, текст, time, реакции (JSON)	Нет
Баллы и уровни	points_log: ID, ID_участника, тип (Путь / Опыт / Идей), действие, баллы, time	Да	[код: points_log]
	levels_config: тип, пороги уровней — настраивается из админки	Да	[код: levels_config]
Уведомления	push_log: ID, тип триггера, ID_участника (или массив), текст, время отправки, статус доставки	Да	[код: push_log]
Аналитические агрегаты	daily_stats: направление, группа, дата, временная точка, средняя энергия, эмоции (JSON), completion %, медиана слов, флаг	Да	[код: daily_stats]
	daily_summary: направление, группа, дата, 9 оценок (среднее), доля тегов копилки, доля источников, топ тем	Нет
	role_stats: направление, дата, распределение ведущих ролей (JSON), распределение режимов «исследую/прокачиваю», топ выбранных экспериментов	Нет
	Таблицы пересчитываются фоновой задачей; дашборды читают из них, а не из сырых ответов	Нет
	Отдельная выгрузка «Итоги дня» строится по daily_summary + сырые ответы	Нет
Минимальный набор сущностей + связи	participants — участники	Да
	groups — группы	Да	[код: participant_groups]
	directions — направления	Да
	events — события программы	Нет
	event_tags — теги событий	Нет
	participant_interests — интересы участника	Нет
	reflection_points — точки осмысления	Нет
	reflection_answers — ответы на точки осмысления	Нет
	states — проверки состояния	Нет
	ratings — оценки дня	Нет
	piggybank — копилка	Нет
	questions — вопросы (рефлексивные, обмен опытом)	Да
	answers — ответы на вопросы	Да
	tasks — задания	Нет
	task_submissions — заявки по заданиям	Нет
	medals — медали	Нет
	participant_medals — медали участников	Нет
	points_log — журнал начисления баллов	Нет
	role_diagnostics — диагностика роли	Нет
	role_experiments — выбранные роли и советы	Нет
	materials — база знаний	Нет
	push_log — история уведомлений	Нет
	admin_actions_log — журнал действий админов	Да	[код: admin_actions_log + JournalTab]
	club_matches — результаты семантического анализа (Этап 2)	Частично	[код: table exists, Этап 2 pipeline] · [код: forum_clubs + nightly match]
	tags — единый справочник тегов (события/диагностика/интересы/материалы/клубы)	Частично	[код: thematic_tags + interests]
Правило хранения ответов	Все ответы хранятся с полями: question_id, question_text_snapshot, day, participant_id, direction, group, created_at	Нет
	question_text_snapshot нужен на случай, если в админке редактируют формулировку вопроса — для корректной аналитики по историческим данным	Нет
Изменения под 6-ролевую модель	participants.ведущая_роль_диагностика — одна из 6 ролей матрицы. Определяется на входе (Д1 диагностика) и пересчитывается на выходе (Д7-Д8) по фактическому поведению. ОДНО поле	Да	[код: participants.strongRole / day state] · [код: pedagogicalRole + portrait]
	participants.роль_для_развития — какую роль хочет развивать дальше. ИСТОЧНИК: самовыбор участника в точке Б (Д7-Д8). НЕ автомат, НЕ рекомендация	Нет
